,Constituency,Const. No.,Leading Candidate,Leading Party,Won,Trailing Candidate,Trailing Party,Margin
0,Agra,18,PROF S P SINGH BAGHEL,Bharatiya Janata Party,33,SURESH CHAND KARDAM,Samajwadi Party,271294
1,Akbarpur,44,DEVENDRA SINGH ALIAS BHOLE SINGH,Bharatiya Janata Party,33,RAJARAM PAL,Samajwadi Party,44345
2,Aligarh,15,SATISH KUMAR GAUTAM,Bharatiya Janata Party,33,BIJENDRA SINGH,Samajwadi Party,15647
3,Allahabad,52,UJJWAL RAMAN SINGH,Indian National Congress,6,NEERAJ TRIPATHI,Bharatiya Janata Party,58795
4,Ambedkar Nagar,55,LALJI VERMA,Samajwadi Party,37,RITESH PANDEY,Bharatiya Janata Party,137247
5,Amethi,37,KISHORI LAL,Indian National Congress,6,SMRITI IRANI,Bharatiya Janata Party,167196
6,Amroha,9,KANWAR SINGH TANWAR,Bharatiya Janata Party,33,KUNWAR DANISH ALI,Indian National Congress,28670
7,Aonla,24,NEERAJ MAURYA,Samajwadi Party,37,DHARMENDRA KASHYAP,Bharatiya Janata Party,15969
8,Azamgarh,69,DHARMENDRA YADAV,Samajwadi Party,37,DINESH LAL YADAV “NIRAHUA”,Bharatiya Janata Party,161035
9,Badaun,23,ADITYA YADAV,Samajwadi Party,37,DURVIJAY SINGH SHAKYA,Bharatiya Janata Party,34991
10,Baghpat,11,DR RAJKUMAR SANGWAN,Rashtriya Lok Dal,2,AMARPAL,Samajwadi Party,159459
11,Baharaich,56,ANAND KUMAR,Bharatiya Janata Party,33,RAMESH CHANDRA,Samajwadi Party,64227
12,Ballia,72,SANATAN PANDEY,Samajwadi Party,37,NEERAJ SHEKHAR,Bharatiya Janata Party,43384
13,Banda,48,KRISHNA DEVI SHIVSHANKER PATEL,Samajwadi Party,37,R. K. SINGH PATEL,Bharatiya Janata Party,71210
14,Bansgaon,67,KAMLESH PASWAN,Bharatiya Janata Party,33,SADAL PRASAD,Indian National Congress,3150
15,Barabanki,53,TANUJ PUNIA,Indian National Congress,6,RAJRANI RAWAT,Bharatiya Janata Party,215704
16,Bareilly,25,CHHATRA PAL SINGH GANGWAR,Bharatiya Janata Party,33,PRAVEEN SINGH ARON,Samajwadi Party,34804
17,Basti,61,RAM PRASAD CHAUDHARY,Samajwadi Party,37,HARISH CHANDRA ALIAS HARISH DWIVEDI,Bharatiya Janata Party,100994
18,Bhadohi,78,DR. VINOD KUMAR BIND,Bharatiya Janata Party,33,LALITESHPATI TRIPATHI,All India Trinamool Congress,44072
19,Bijnor,4,CHANDAN CHAUHAN,Rashtriya Lok Dal,2,DEEPAK,Samajwadi Party,37508
20,Bulandshahr,14,DR BHOLA SINGH,Bharatiya Janata Party,33,SHIVRAM,Indian National Congress,275134
21,Chandauli,76,BIRENDRA SINGH,Samajwadi Party,37,DR. MAHENDRA NATH  PANDEY,Bharatiya Janata Party,21565
22,Deoria,66,SHASHANK MANI,Bharatiya Janata Party,33,AKHILESH PRATAP SINGH,Indian National Congress,34842
23,Dhaurahra,29,ANAND BHADAURIYA,Samajwadi Party,37,REKHA VERMA,Bharatiya Janata Party,4449
24,Domariyaganj,60,JAGDAMBIKA PAL,Bharatiya Janata Party,33,BHISHMA SHANKAR ALIAS KUSHAL TIWARI,Samajwadi Party,42728
25,Etah,22,DEVESH SHAKYA,Samajwadi Party,37,RAJVEER SINGH (RAJU BHAIYA),Bharatiya Janata Party,28052
26,Etawah,41,JITENDRA KUMAR DOHARE,Samajwadi Party,37,DR RAM SHANKAR KATHERIA,Bharatiya Janata Party,58419
27,Faizabad,54,AWADHESH PRASAD,Samajwadi Party,37,LALLU SINGH,Bharatiya Janata Party,54567
28,Farrukhabad,40,MUKESH RAJPUT,Bharatiya Janata Party,33,DR. NAVAL KISHOR SHAKYA,Samajwadi Party,2678
29,Fatehpur,49,NARESH CHANDRA UTTAM PATEL,Samajwadi Party,37,NIRANJAN JYOTI,Bharatiya Janata Party,33199
30,Fatehpur Sikri,19,RAJKUMAR CHAHAR,Bharatiya Janata Party,33,RAMNATH SINGH SIKARWAR,Indian National Congress,43405
31,Firozabad,20,AKSHAYA YADAV,Samajwadi Party,37,VISHWADEEP SINGH,Bharatiya Janata Party,89312
32,Gautam Buddha Nagar,13,DR. MAHESH SHARMA,Bharatiya Janata Party,33,DR. MAHENDRA SINGH NAGAR,Samajwadi Party,559472
33,Ghaziabad,12,ATUL GARG,Bharatiya Janata Party,33,DOLLY SHARMA,Indian National Congress,336965
34,Ghazipur,75,AFZAL ANSARI,Samajwadi Party,37,PARS NATH RAI,Bharatiya Janata Party,124861
35,Ghosi,70,RAJEEV RAI,Samajwadi Party,37,DR. ARVIND RAJBHAR,Suheldev Bharatiya Samaj Party,162943
36,Gonda,59,KIRTIVARDHAN SINGH,Bharatiya Janata Party,33,SHREYA VERMA,Samajwadi Party,46224
37,Gorakhpur,64,RAVINDRA SHUKLA ALIAS RAVI KISHAN,Bharatiya Janata Party,33,KAJAL NISHAD,Samajwadi Party,103526
38,Hamirpur,47,AJENDRA SINGH LODHI,Samajwadi Party,37,KUNWAR PUSHPENDRA SINGH CHANDEL,Bharatiya Janata Party,2629
39,Hardoi,31,JAI PRAKASH,Bharatiya Janata Party,33,USHA VERMA,Samajwadi Party,27856
40,Hathras,16,ANOOP PRADHAN BALMIKI,Bharatiya Janata Party,33,JASVEER VALMIKI,Samajwadi Party,247318
41,Jalaun,45,NARAYAN DAS AHIRWAR,Samajwadi Party,37,BHANU PRATAP SINGH VERMA,Bharatiya Janata Party,53898
42,Jaunpur,73,BABU SINGH KUSHWAHA,Samajwadi Party,37,KRIPASHANKAR SINGH,Bharatiya Janata Party,99335
43,Jhansi,46,ANURAG SHARMA,Bharatiya Janata Party,33,"PRADEEP JAIN ""ADITYA""",Indian National Congress,102614
44,Kairana,2,IQRA CHOUDHARY,Samajwadi Party,37,PRADEEP KUMAR,Bharatiya Janata Party,69116
45,Kaiserganj,57,KARAN BHUSHAN SINGH,Bharatiya Janata Party,33,BHAGAT RAM,Samajwadi Party,148843
46,Kannauj,42,AKHILESH YADAV,Samajwadi Party,37,SUBRAT PATHAK,Bharatiya Janata Party,170922
47,Kanpur,43,RAMESH AWASTHI,Bharatiya Janata Party,33,ALOK MISRA,Indian National Congress,20968
48,Kaushambi,50,PUSHPENDRA SAROJ,Samajwadi Party,37,VINOD KUMAR SONKAR,Bharatiya Janata Party,103944
49,Kheri,28,UTKARSH VERMA 'MADHUR',Samajwadi Party,37,AJAY KUMAR,Bharatiya Janata Party,34329
50,Kushi Nagar,65,VIJAY KUMAR DUBAY,Bharatiya Janata Party,33,AJAY PRATAP SINGH URF PINTU SAITHWAR,Samajwadi Party,81790
51,Lalganj,68,DAROGA PRASAD SAROJ,Samajwadi Party,37,NEELAM SONKER,Bharatiya Janata Party,115023
52,Lucknow,35,RAJ NATH SINGH,Bharatiya Janata Party,33,RAVIDAS MEHROTRA,Samajwadi Party,135159
53,Machhlishahr,74,PRIYA SAROJ,Samajwadi Party,37,BHOLANATH (B.P. SAROJ),Bharatiya Janata Party,35850
54,Maharajganj,63,PANKAJ CHAUDHARY,Bharatiya Janata Party,33,VIRENDRA CHAUDHARY,Indian National Congress,35451
55,Mainpuri,21,DIMPLE YADAV,Samajwadi Party,37,JAYVEER SINGH,Bharatiya Janata Party,221639
56,Mathura,17,HEMAMALINI DHARMENDRA DEOL,Bharatiya Janata Party,33,MUKESH DHANGAR,Indian National Congress,293407
57,Meerut,10,ARUN GOVIL,Bharatiya Janata Party,33,SUNITA VERMA,Samajwadi Party,10585
58,Mirzapur,79,ANUPRIYA PATEL,Apna Dal (Soneylal),1,RAMESH CHAND BIND,Samajwadi Party,37810
59,Misrikh,32,ASHOK KUMAR RAWAT,Bharatiya Janata Party,33,SANGITA RAJVANSHI,Samajwadi Party,33406
60,Mohanlalganj,34,R.K. CHAUDHARY,Samajwadi Party,37,KAUSHAL KISHORE,Bharatiya Janata Party,70292
61,Moradabad,6,RUCHI VIRA,Samajwadi Party,37,KUNWAR SARVESH KUMAR,Bharatiya Janata Party,105762
62,Muzaffarnagar,3,HARENDRA SINGH MALIK,Samajwadi Party,37,SANJEEV KUMAR BALYAN,Bharatiya Janata Party,24672
63,Nagina,5,CHANDRASHEKHAR,Aazad Samaj Party (Kanshi Ram),1,OM KUMAR,Bharatiya Janata Party,151473
64,Phulpur,51,PRAVEEN PATEL,Bharatiya Janata Party,33,AMAR NATH SINGH MAURYA,Samajwadi Party,4332
65,Pilibhit,26,JITIN PRASADA,Bharatiya Janata Party,33,BHAGWAT SARAN GANGWAR,Samajwadi Party,164935
66,Pratapgarh,39,SHIV PAL SINGH PATEL (DR. S P SINGH),Samajwadi Party,37,SANGAM LAL GUPTA,Bharatiya Janata Party,66206
67,Rae Bareli,36,RAHUL GANDHI,Indian National Congress,6,DINESH PRATAP SINGH,Bharatiya Janata Party,390030
68,Rampur,7,MOHIBBULLAH,Samajwadi Party,37,GHANSHYAM SINGH LODHI,Bharatiya Janata Party,87434
69,Robertsganj,80,CHHOTELAL,Samajwadi Party,37,RINKI SINGH,Apna Dal (Soneylal),129234
70,Saharanpur,1,IMRAN MASOOD,Indian National Congress,6,RAGHAV LAKHANPAL,Bharatiya Janata Party,64542
71,Salempur,71,RAMASHANKAR RAJBHAR,Samajwadi Party,37,RAVINDAR KUSHAWAHA,Bharatiya Janata Party,3573
72,Sambhal,8,ZIA UR REHMAN,Samajwadi Party,37,PARMESHWAR LAL SAINI,Bharatiya Janata Party,121494
73,Sant Kabir Nagar,62,LAXMIKANT PAPPU NISHAD,Samajwadi Party,37,PRAVIN KUMAR NISHAD,Bharatiya Janata Party,92170
74,Shahjahanpur,27,ARUN KUMAR SAGAR,Bharatiya Janata Party,33,JYOTSNA GOND,Samajwadi Party,55379
75,Shrawasti,58,RAM SHIROMANI VERMA,Samajwadi Party,37,SAKET MISRA,Bharatiya Janata Party,76673
76,Sitapur,30,RAKESH RATHOR,Indian National Congress,6,RAJESH VERMA,Bharatiya Janata Party,89641
77,Sultanpur,38,RAMBHUAL NISHAD,Samajwadi Party,37,MANEKA SANJAY GANDHI,Bharatiya Janata Party,43174
78,Unnao,33,SWAMI SACHCHIDANAND HARI SAKSHI,Bharatiya Janata Party,33,ANNU TANDON,Samajwadi Party,35818
79,Varanasi,77,NARENDRA MODI,Bharatiya Janata Party,33,AJAY RAI,Indian National Congress,152513
